id	name	code	country_code	coordinates	municipality	province
1227	Arroyo De Alcazar Jerez Del Marquesado	ALCAZAR	ES		JEREZ DEL MARQUESADO	GRANADA
1229	Puits Proche De La Source De L'affluent Ceira	CEIRAWEL	PT		GANDARA DE ESPARIZ	COIMBRA
1230	Funtana Ezza	FUNTEZZA	IT		SENNARIOLO	ORISTANO
1233	Mugnone Pian Di Mugnone	MUGNONE	IT		PIAN DI MUGNONA	FIRENZE
1234	Fonte Di S. Cassiano	CKMAP115	IT		FABRIANO	MARCHE
1235	Torrente Mugnone	CKMAP461	IT		PIAN DI MUGNONE	TOSCANA
1236	River Mugnone Caldine	MUGNONCA	IT		CALDINE	TOSCANA
1237	River Mugnone Fabbrica	MUGNONFA	IT		CALDINE	TOSCANA
1238	River Mugnone Querciola	MUGNONQU	IT		QUERCIOLA	TOSCANA
1239	River Mugnone Querciola. Fosso Delle Scalacce	MUGNONSC	IT		QUERCIOLA	TOSCANA
1241	Grotta Di Bossea Bossea	BOSSEA	IT		BOSSEA	CUNEO
1242	Grotta Dell Orso Ponte Di Nava	ORSO	IT		PONTE DI NAVA	CUNEO
1243	River Stura At Lanzo Torinese Sturia 2	LANZOTOR	IT		LANZO TORINESE	PIEMONT
1244	Grotta Dell Orso (118 Pi/Cn)	CKMAP126	IT		PONTE DI NAVA	CUNEO
1246	Grotta Di Bossea (108 Pi/Cn)	CKMAP127	IT		BOSSEA	PIEMONTE
1248	Grotta Di Rio Dei Corvi (884 Pi/Cn). Bric Del Fieno	CKMAP130	IT		LISIO	PIEMONTE
1249	Sorgente Refonderato. Savignone	CKMAP398	IT		SAVIGNONE	LIGURIA
1250	Sorgenti Sotto La Grotta Di Bossea (108 Pi/Cn)	CKMAP419	IT		BOSSEA	PIEMONTE
1251	Tana De L Orpe (248 Li/Sv)	CKMAP457	IT		MILLESIMO	LIGURIA
1252	Grotta Del Camoscere (105 Pi/Cn)	CKMAP125	IT		CHIUSA DI PESIO	PIEMONTE
1255	Gours Concretionnes De La Grotta Occidentale Del Bandito 1003 Pi Cn	BANDITO	IT		ROASCHIA	CUNEO
1262	Cueva Del Valle Rasines	CUEVAVAL	ES		RASINES	SANTANDER
1263	Source Cueva Del Valle Rasines	SOURVALL	ES		RASINES	SANTANDER
1265	La Fuentona (Surgencia Grande)	FUENTONA	ES		RUENTE	SANTANDER
1266	Cueva Del Portillo	PORTILLO	ES		COMILLAS	SANTANDER
1269	Cueva De Tijeras	TIJERACA	ES		CONCHA	SANTANDER
1270	Well 1 Al Lado S. De Barrio San Juan	VIESGOW1	ES		PUENTE VIESGO	SANTANDER
1271	Rio Yera	YERARIO	ES		VEGA DE PAS	SANTANDER
1272	Fuente Pilas De Dedil Alhama De Granada	PILAS	ES		ALHAMA DE GRANADA	GRANADA
1276	Manantial De Ubao2 Ubao	UBAO	ES		ONATE	GUIPUZCOA
1277	Cueva De Porraipi	PORRAIPI	ES		ILARDUIA	ALAVA
1278	Casa Echachocoa	ECHACHOC	ES		OGNATE	GUIPUZCOA
1279	Enfrente De La Iglesia	OGNATEWE	ES		OGNATE	GUIPUZCOA
1281	Cave Bjelusica	BJELUSNI	BA		ZAVALA	POPOVO POLJE
1282	Code Station Bosher07	BOSHER07	BA		INCONNU	INCONNU
1283	Code Station Bosher08	BOSHER08	BA		INCONNU	INCONNU
1284	Code Station Croati09	CROATI09	HR		INCONNU	INCONNU
1285	Code Station Monten07	MONTEN07	ME		INCONNU	INCONNU
1286	Cave Vjetrenica, Zavala, Popovo Polje	VJETRENI	BA		ZAVALA	FEDERATION OF BOSNIA AND HERZEGOVINA
1287	Cave Zaploce (245b), Grebci (Ravno)	ZAPLOCE	BA		GREBCI	RAVNO
1291	Cave Ledenjaca	LEDENJA	BA		BUDANJ	FOCA
1298	Reznica Cave A 10 Minutes Au S.e. De Grebci A 30 M Droite Du Chemin Qui Unit Cette Localite A Slavogostici. Zahumska Opstina (Chef Lieu Poljice) Srez De Trebinje	REZNICAV	BA		GREBCI	RAVNO
1303	Captage De Champalle P4	CHAMPP	BE		YVOIR	NAMUR
1305	Puits De La Lunette	LUNETTE	BE		WAVREILLE	WALLONIE
1306	Puits Du Milieux Du Monde I Chapelle	MILMONDI	BE		ASSESSE	NAMUR
1307	Galerie Principale Du Neblon	NEBLONPR	BE		JENNERET	SPRIMONT
1308	Puits Du Chateau De Houx	CHATHOUX	BE		YVOIR	NAMUR
1309	Galerie Drainante Tinkou Neblon	TINKOU	BE		JENNERET	SPRIMONT
