event_date	biomat_code	sampling_code
01/06/2013	PROASELLUS_VALDENSIS|ARCINE_199104	ARCINE_199104
01/06/2013	PROASELLUS_VALDENSIS|ARCINE_199106	ARCINE_199106
01/06/2013	PROASELLUS_VALDENSIS|DOUVERA_200908	DOUVERA_200908
01/06/2013	PROASELLUS_VALDENSIS|BIEFCHAU_201005	BIEFCHAU_201005
01/06/2013	PROASELLUS_VANDELI|ARBOUETR_196507	ARBOUETR_196507
01/06/2013	PROASELLUS_VANDELI|LAMINA_196507	LAMINA_196507
01/06/2013	PROASELLUS_VANDELI|UTHURRIA_196507	UTHURRIA_196507
01/06/2013	PROASELLUS_VULGARIS|STRAHOME_195508	STRAHOME_195508
01/06/2013	PROASELLUS_WALTERI|CZ01CEZE_201307	CZ01CEZE_201307
01/06/2013	PROASELLUS_WALTERI|CZ03CEZE_201307	CZ03CEZE_201307
01/06/2013	PROASELLUS_WALTERI|CZ07CEZE_201307	CZ07CEZE_201307
01/06/2013	PROASELLUS_WALTERI|CZ14CEZE_201307	CZ14CEZE_201307
01/06/2013	PROASELLUS_WALTERI|CZ24CEZE_201307	CZ24CEZE_201307
01/06/2013	PROASELLUS_WALTERI|CZ25CEZE_201307	CZ25CEZE_201307
01/06/2013	PROASELLUS_WALTERI|CZ34CEZE_201307	CZ34CEZE_201307
01/06/2013	PROASELLUS_WALTERI|CZ8CEZE_201307	CZ8CEZE_201307
01/06/2013	PROASELLUS_SP|AINR07AM_201507	AINR07AM_201507
01/06/2013	PROASELLUS_SP|AINR07AV_201507	AINR07AV_201507
01/06/2013	PROASELLUS_WALTERI|AINR29AM_201507	AINR29AM_201507
01/06/2013	PROASELLUS_WALTERI|AINR31AV_201507	AINR31AV_201507
01/06/2013	PROASELLUS_SP|AINR08AM_201507	AINR08AM_201507
01/06/2013	PROASELLUS_WALTERI|AINR12AM_201507	AINR12AM_201507
01/06/2013	PROASELLUS_WALTERI|AINR12AV_201507	AINR12AV_201507
01/06/2013	PROASELLUS_WALTERI|AINR15AV_201507	AINR15AV_201507
01/06/2013	PROASELLUS_WALTERI|AINR16AM_201507	AINR16AM_201507
01/06/2013	PROASELLUS_WALTERI|AINR17AV_201507	AINR17AV_201507
01/06/2013	PROASELLUS_WALTERI|AINR22AM_201507	AINR22AM_201507
01/06/2013	PROASELLUS_WALTERI|AINR22AV_201507	AINR22AV_201507
01/06/2013	PROASELLUS_WALTERI|AINR25AV_201507	AINR25AV_201507
01/06/2013	PROASELLUS_WALTERI|AINR28AV_201507	AINR28AV_201507
01/06/2013	PROASELLUS_WALTERI|DROAOUST_201103	DROAOUST_201103
01/06/2013	PROASELLUS_WALTERI|VIOLETTE_200707	VIOLETTE_200707
01/06/2013	PROASELLUS_WALTERI|DROLIVRO_201103	DROLIVRO_201103
01/06/2013	PROASELLUS_WALTERI|RAMIERES_200810	RAMIERES_200810
01/06/2013	PROASELLUS_WALTERI|VIELVIC_201409	VIELVIC_201409
01/06/2013	PROASELLUS_WALTERI|GANGESHE_198806	GANGESHE_198806
01/06/2013	PROASELLUS_WALTERI|OUVVAISO_201007	OUVVAISO_201007
01/06/2013	PROASELLUS_WALTERI|ROUBSAUZ_201006	ROUBSAUZ_201006
01/06/2013	PROASELLUS_WALTERI|ROUBSAUZ_201102	ROUBSAUZ_201102
01/06/2013	PROASELLUS_WALTERI|ROUMONTE_201205	ROUMONTE_201205
01/06/2013	SYNASELLUS_EXIGUUS|VIPAREDE_194309	VIPAREDE_194309
01/06/2013	SYNASELLUS_LAFONENSIS|SPEDROSU_195607	SPEDROSU_195607
01/06/2013	SYNASELLUS_LONGICAUDA|MEDAWELL_195711	MEDAWELL_195711
01/06/2013	SYNASELLUS_MATEUSI|VILREALW_195312	VILREALW_195312
01/06/2013	SYNASELLUS_MEIRELESI|IDANHAAN_195707	IDANHAAN_195707
01/06/2013	STENASELLUS_BUILI|CENTFONT_200908	CENTFONT_200908
01/06/2013	STENASELLUS_BUILI|FONTANIL_200908	FONTANIL_200908
01/06/2013	STENASELLUS_RACOVITZAI|SOLENZA_200908	SOLENZA_200908
01/06/2013	STENASELLUS_RACOVITZAI|LAGANY_199208	LAGANY_199208
01/06/2013	STENASELLUS_VIREI_ANGELIERI|BEUDACA_198207	BEUDACA_198207
01/06/2013	STENASELLUS_VIREI_BOUI|NERTNAPP_196802	NERTNAPP_196802
01/06/2013	STENASELLUS_VIREI_VIREI|RGNOGUER_197209	RGNOGUER_197209
