"ID","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","acceptedNameUsage","namePublishedInYear","country","Locality","locationRemarks","habitat","decimalLongitude","decimalLatitude","geodeticDatum","Easting_EPSG3035","Northing_EPSG3035","Coord.Uncertainty","Coord.Validator","associatedReferences","PublicationYear","source","researchGroup"
5555,"Cyclopoida","Cyclopidae","Cyclopinae","Speocyclops","NULL","troglodytes","NULL","Speocyclops troglodytes","(Chappuis, 1923)","Speocyclops troglodytes (Chappuis, 1923)","1923","Serbia","Prekono�ka Pecina","cave","NULL",22.1022,43.3802,"EPSG: 4326",5299504.088992078,2331554.7257734016,"0.1 km","Emma Galmarini","Chappuis P.A. (1933) Copépodes (première série), avec l'énumeration de tous les Copépodes cavernicoles connus en 1930. Arch. Zool. exp. gén., 76(1) (Biospeologica 59): 1-57",1933,"Literature: F. Stoch","NULL"
5081,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Stammericaris","NULL","phreatica","NULL","Stammericaris phreatica","(Chappuis, 1936)","Stammericaris phreatica (Chappuis, 1936)","1936","North Macedonia","Skopje, Vardar River","hyporheic habitat","Aquifer in unconsolidated sediments:hyporeic",21.247,42.022,"EPSG: 4326",5251945.092355433,2171610.035293665,"1 km","Mattia Di Cicco","Chappuis P.A. (1936) Subterrane Harpacticoiden aus Jugoslawien. Bul. Soc. St. Cluj, 8: 386-398",1936,"Literature: F. Stoch","NULL"
5558,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","sp.","NULL","Acanthocyclops sp. group venustus","NULL","Acanthocyclops sp. group venustus ","NULL","Slovakia","Domica Cave","cave","NULL",20.47,48.478,"EPSG: 4326",5092413.67203212,2873166.550365383,"0.1 km","Emma Galmarini","Hudec I. (2000) Interakcie povrchovych a podzemnych vodnych korovcov (Crustacea) oblasti jaskyne Domica (Slovensky kras). In Fauna Jaskyn. Mock A., Kovac L. and Fulin M. (eds). Vychodoslovenske muzeum, Slovice, Slovakia, 53-60",2000,"Literature: F. Malard","NULL"
5152,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Parastenocaris","NULL","brevipes","NULL","Parastenocaris brevipes","Kessler, 1913","Parastenocaris brevipes Kessler, 1913","1913","Norway","Scanned from map (F. Malard)","NULL","Unclear",11.097,60.386,"EPSG: 4326",4381667.35570903,4143297.385249095,"3 km","Mattia Di Cicco","Enckell P. H. (1969) Distribution and dispersal of Parastenocarididae (Copepoda) in northern Europe. Oikos, 20: 493-507",1969,"Literature: F. Stoch","NULL"
5563,"Harpacticoida","Chappuisiidae","NULL","Chappuisius","NULL","inopinus","NULL","Chappuisius inopinus","Kiefer, 1938","Chappuisius inopinus Kiefer, 1938","1938","Slovakia","Slovakia (no better precision)","saturated porous?","Aquifer in unconsolidated sediments:saturated",19.681,48.782,"EPSG: 4326",5030349.582949109,2898771.3949721353,"Comm.Centr","Emma Galmarini","Košel V. (2009) Subteránna fauna Západných Karpát. Ceske Budejovice ISBN 978-80-86525-17-4, 203 pp.",2009,"Literature: F. Malard","NULL"
5153,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Parastenocaris","NULL","glacialis","NULL","Parastenocaris glacialis","Noodt, 1954","Parastenocaris glacialis Noodt, 1954","1954","Norway","Scanned from map (F. Malard)","NULL","Unclear",7.322,58.379,"EPSG: 4326",4164099.91725662,3922688.401242033,"1 km","Mattia Di Cicco","Enckell P. H. (1969) Distribution and dispersal of Parastenocarididae (Copepoda) in northern Europe. Oikos, 20: 493-507",1969,"Literature: F. Stoch","NULL"
6347,"Cyclopoida","Cyclopidae","Cyclopinae","Speocyclops","NULL","infernus","NULL","Speocyclops infernus","(Kiefer, 1930)","Speocyclops infernus (Kiefer, 1930)","1930","Slovenia","Pivka jama","karst: unsaturated zone/cave","Karst:saturated",14.209,45.805,"EPSG: 4326",4648427.484225987,2530619.3667121134,"0.1 km","Ilaria Vaccarelli","Brancelj A., Pipan T. (2004) Diversity of Copepoda (Crustacea) in the unsaturated zone of karstic caves of Slovenia. In: Griffiths H.I. et al. (eds.), Balkan Biodiversity. Kluwer Academic Publishers, 323-332",2004,"Literature: F. Stoch","NULL"
6356,"Cyclopoida","Cyclopidae","Cyclopinae","Speocyclops","NULL","infernus","NULL","Speocyclops infernus","(Kiefer, 1930)","Speocyclops infernus (Kiefer, 1930)","1930","Slovenia","Pivka jama","karst groundwater/cave","Karst",14.209,45.805,"EPSG: 4326",4648427.484225987,2530619.3667121134,"0.1 km","Ilaria Vaccarelli","Brancelj A. (2002) Personal communication",2002,"Pascalis project Database: Europe","NULL"
5964,"Cyclopoida","Cyclopidae","Cyclopinae","Diacyclops","NULL","clandestinus","NULL","Diacyclops clandestinus","(Kiefer, 1926)","Diacyclops clandestinus (Kiefer, 1926)","1926","Slovenia","Planinska jama","karst groundwater/cave","Karst",14.247,45.821,"EPSG: 4326",4651282.932577126,2532560.970497534,"0.1 km","Ilaria Vaccarelli","Brancelj A. (2002) Personal communication",2002,"Pascalis project Database: Europe","NULL"
6333,"Cyclopoida","Cyclopidae","Cyclopinae","Speocyclops","NULL","infernus","NULL","Speocyclops infernus","(Kiefer, 1930)","Speocyclops infernus (Kiefer, 1930)","1930","Slovenia","Planinska Jama","karst: unconsolidated/cave","Karst",14.247,45.821,"EPSG: 4326",4651282.932577126,2532560.970497534,"0.1 km","Ilaria Vaccarelli","Petkovski T.K. (1984) Bemerkenswerte Cyclopiden (Crustacea, Copepoda) aus den subterranen Gewässern Sloweniens. Acta Mus. maced. sci. nat., Skopje, 17(2): 23-52",1984,"Literature: F. Stoch","NULL"
6355,"Cyclopoida","Cyclopidae","Cyclopinae","Speocyclops","NULL","infernus","NULL","Speocyclops infernus","(Kiefer, 1930)","Speocyclops infernus (Kiefer, 1930)","1930","Slovenia","Planinska jama","karst groundwater/cave","Karst",14.247,45.821,"EPSG: 4326",4651282.932577126,2532560.970497534,"0.1 km","Ilaria Vaccarelli","Brancelj A. (2002) Personal communication",2002,"Pascalis project Database: Europe","NULL"
