CollCode;AssBy;VerbLoc;LocID;Lat;Long;LatLongP;Country;CountryCod;IdenVer;Phylum;Class;Order;Family;Genus;Species;TaxRank;TaxStat;OccID;BasRec;RefBy
World Asellidae Database;Florian Malard;RHIN A RHINAU;RHINAURH;48.25717;7.67967;NA;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|RHINAURH_201207;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;SOURCE KR KRAUTLANDERGRABEN;ROSSFELD;48.3339;7.63116;0.001;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|ROSSFELD_201207;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;SOURCE DE SAINT MATERNE;STMATERN;48.36593;7.62184;0.001;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|STMATERN_201207;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;LE GAVE D ASPE HYPORHEIC ZONE;GAVEASPE;43.144125;-0.59828;0.001;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|GAVEASPE_202305;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;RIVER AIN A L AVAL DU PONT DE PONT D AIN;AINR01AM;46.045022;5.332299;0.001;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|AINR01AM_201707;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;RIVIERE L ALBARINE A SAINT RAMBERT EN BUGEY PASSERELLE AMONT DU VILLAGE;STRAMB2;45.950168;5.445627;0.001;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|STRAMB2_201805;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;STATION 9. SECTEUR AIN;AINSTA09;45.95206;5.2703;0.100;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|AINSTA09_199300;Literature;MALARD F
World Asellidae Database;Florian Malard;STATION 10. SECTEUR AIN;AINSTA10;45.97444;5.24051;0.100;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|AINSTA10_199300;Literature;MALARD F
World Asellidae Database;Florian Malard;PHREATIC SITE ALONG THE VIPAVA NEAR DORNBERK;DORNBERK;45.88781;13.73774;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|DORNBERK_197200;Literature;MALARD F
World Asellidae Database;Florian Malard;STATION 10. INTERSTITIEL DE L HERBASSE;HERBAS10;45.12563;4.98387;0.100;FRANCE;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|HERBAS10_199300;Literature;MALARD F
