code	year	verbatim	authors	journal	title
Gourbault_Lescher_Moutoue_1979_Publica_Espeleol_Com_Balear_Espeleol_Mallorca_56_43_54	1979	Gourbault N., Lescher-Moutoue F. 1979. Faune des eaux souterraines de Majorque. Publicacio d Espeleologia Comite Balear d Espeleologia, Mallorca, 56, 43-54.	Gourbault N., Lescher-Moutoue F.	Publicacio d Espeleologia Comite Balear d Espeleologia, Mallorca	Faune des eaux souterraines de Majorque
Ginet_Genest_1954_Bull_Mens_Soc_Lin_Lyon_23_2_3_47_79	1954	Ginet R., Genest L.C. 1954. Faune cavernicole du Vercors. 1. Stations prospectees pendant la campagne 1953. Bull. Mens. Soc. Linneenne Lyon, 23 (2-3), 47-79.	Ginet R., Genest L.C.	Linneenne Lyon	Faune cavernicole du Vercors. 1. Stations prospectees pendant la campagne 1953. Bull. Mens. Soc
Ginet_2002_Unpublished_Data	2002	Ginet R. 2002. Unpublished data	Ginet R.	Unpublished data	
Gibert_et_al_1978_6_congr_Suisse_speleol_Porrentruy_37_68	1978	Gibert J., Laurent R., Bourne J.D., Ginet R. 1978. L ecosysteme karstique du massif de Dorvan (Torcieu, Ain, France). Presentation de l environnement physique et le peuplement animal souterrain. Actes du 6eme congres Suisse de speleologie, 16-18 September 1978, Porrentruy, Suisse, pp. 37-68.	Gibert J., Laurent R., Bourne J.D., Ginet R.	Actes du 6eme congres Suisse de speleologie, 16-18 September 1978, Porrentruy, Suisse	L ecosysteme karstique du massif de Dorvan (Torcieu, Ain, France). Presentation de l environnement physique et le peuplement animal souterrain. , pp
Gibert_1986_Mem_Biospeol_13_40_1_380	1986	Gibert J. 1986. Ecologie d un systeme karstique jurassien. Hydrogeologie, derive animale, transits de matieres, dynamique de la population de Niphargus (Crustace Amphipode). Memoires de Biospeologie, 13(40), 1-380.	Gibert J.	Memoires de Biospeologie	Ecologie d un systeme karstique jurassien. Hydrogeologie, derive animale, transits de matieres, dynamique de la population de Niphargus (Crustace Amphipode)
Gauthier_1928_PhD_Thesis_Paris_Fr	1928	Gauthier H. 1928. Recherches sur la faune des eaux continentales de l Algerie et de la Tunisie. These Universite de Paris. France.	Gauthier H.	France	Recherches sur la faune des eaux continentales de l Algerie et de la Tunisie. These Universite de Paris
Fuchs_1971_in_Henry_1976_PhD_Thesis_Dijon	1971	Fuchs 1971 cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota). PhD thesis, University of Dijon, Dijon, France.	Fuchs	PhD thesis, University of Dijon, Dijon, France	cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota)
Frade_1938_Bull_Soc_Port_Sc_Nat_7_5_17_24	1938	Frade F. 1938. Un Asellus (Isopode) nouveau des eaux souterraines du Portugal. Bulletin de la Societe Portugaise des Sciences Naturelles, 7(5), 17-24.	Frade F.	Bulletin de la Societe Portugaise des Sciences Naturelles	Un Asellus (Isopode) nouveau des eaux souterraines du Portugal
Forel_1884_in_Henry_1976_PhD_Thesis_Dijon	1884	Forel 1884 cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota). PhD thesis, University of Dijon, Dijon, France.	Forel	PhD thesis, University of Dijon, Dijon, France	cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota)
Fochetti_et_al_1998_in_Ckmap_2006_database	1998	Fochetti et al. 1998 cited in CKmap 2006 pubication	Fochetti et al.	1998 cited in CKmap 2006 pubication	cited in CKmap 2006 pubication
